appid,name,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,languages,genres,tags
440,Team Fortress 2,Valve,Valve,845304,57365,"10,000,000 - 20,000,000",8647,1093,338,327,9.99,95797,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","Action, Free to Play","Free to Play, Hero Shooter, Multiplayer, FPS, Shooter, Action, Class-Based, Team-Based, Funny, First-Person, Online Co-Op, Competitive, Cartoony, Trading, Co-op, Comedy, Robots, Tactical, Cartoon, Crafting"
236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,266376,73215,"10,000,000 - 20,000,000",4747,612,345,290,9.99,79816,"English, German, French, Italian, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Czech, Turkish, Portuguese - Portugal, Korean, Portuguese - Brazil, Hungarian, Ukrainian, Traditional Chinese, Romanian","Action, Free to Play, Massively Multiplayer, Simulation","Free to Play, Vehicular Combat, Combat, VR, World War II, Flight, War, Naval Combat, Military, Tanks, Modern, Third-Person Shooter, Simulation, Third Person, Cold War, Realistic, Shooter, Massively Multiplayer, Historical, Action"
1222670,The Sims 4,Maxis,Electronic Arts,61314,9386,"10,000,000 - 20,000,000",1084,277,248,114,9.99,66198,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Japanese, Norwegian, Polish, Portuguese - Brazil, Russian, Swedish, Finnish, Traditional Chinese, Simplified Chinese, Korean","Adventure, Casual, Free to Play, Simulation","Free to Play, Immersive Sim, Sandbox, Building, Romance, Life Sim, Character Customization, Dating Sim, Cute, Relaxing, Funny, Sexual Content, Simulation, Casual, Cartoony, Singleplayer, Realistic, Family Friendly, Fantasy, Adventure"
105600,Terraria,Re-Logic,Re-Logic,1011823,22244,"10,000,000 - 20,000,000",6904,539,2111,210,9.99,65962,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese","Action, Adventure, Indie, RPG","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Crafting, Pixel Graphics, Building, Exploration, Co-op, Open World, Indie, Online Co-Op, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric"
346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,480180,101195,"10,000,000 - 20,000,000",10744,721,943,409,9.99,65577,"English, French, Italian, German, Spanish - Spain, Russian, Portuguese - Brazil, Simplified Chinese, Czech, Danish, Dutch, Hungarian, Polish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Finnish, Japanese, Korean","Action, Adventure, Indie, Massively Multiplayer, RPG","Open World Survival Craft, Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base-Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie"
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,451186,42062,"10,000,000 - 20,000,000",7512,3087,322,437,9.99,60556,English,"Action, Adventure, Casual, Free to Play, Indie","Free to Play, Survival, Zombies, Multiplayer, Open World, Adventure, Crafting, Action, Co-op, First-Person, Looter Shooter, Sandbox, Shooter, FPS, Post-apocalyptic, Singleplayer, Massively Multiplayer, Indie, Casual, Atmospheric"
1085660,Destiny 2,Bungie,Bungie,419461,81601,"10,000,000 - 20,000,000",8506,1067,399,715,9.99,60011,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","Action, Adventure, Free to Play","Free to Play, Open World, FPS, Looter Shooter, MMORPG, PvP, PvE, Co-op, Shooter, First-Person, Massively Multiplayer, Sci-fi, Loot, Action, Lore-Rich, Space, Multiplayer, Adventure, Competitive, Atmospheric"
1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,423726,129944,"10,000,000 - 20,000,000",3571,574,2484,111,9.99,59782,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish",RPG,"Cyberpunk, Open World, RPG, Nudity, Singleplayer, Sci-fi, Futuristic, FPS, First-Person, Story Rich, Mature, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim"
529340,Victoria 3,Paradox Development Studio,Paradox Interactive,7506,4617,"10,000,000 - 20,000,000",1197,1197,1052,1052,9.99,56917,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish","Simulation, Strategy","Grand Strategy, Economy, Strategy, Historical, Simulation, Management, Alternate History, Diplomacy, Political, Singleplayer, Real-Time with Pause, Multiplayer, Politics, Moddable, Sandbox, Political Sim, Resource Management, Military, Replay Value, Capitalism"
294100,RimWorld,Ludeon Studios,Ludeon Studios,141370,2527,"10,000,000 - 20,000,000",9481,911,2617,596,9.99,54195,"English, French, German, Polish, Russian, Italian, Spanish - Spain, Czech, Danish, Dutch, Hungarian, Japanese, Norwegian, Portuguese - Portugal, Portuguese - Brazil, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Finnish, Korean, Romanian, Spanish - Latin America","Indie, Simulation, Strategy","Colony Sim, Base-Building, Survival, Strategy, Management, Sandbox, Building, Simulation, City Builder, Singleplayer, Moddable, Open World, Procedural Generation, 2D, Sci-fi, Indie, Space, Tactical RPG, Western, Cartoony"
