appid,name,developer,publisher,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
623550,Timen runner,REX PEX GAMES,REX PEX GAMES,52,45,0,"50,000 .. 100,000",299,0,323,0,49,99,51,2,English,"Casual, Indie","Indie, Casual, Platformer, 2D, Pixel Graphics, Great Soundtrack, Side Scroller, Difficult, Runner"
1920320,Parasite,StarInfidel,StarInfidel,18,3,0,"50,000 .. 100,000",0,0,0,0,599,599,0,2,English,"Indie, RPG, Early Access","Early Access, Rogue-like, Sandbox, Survival Horror, RPG, Exploration, Open World, Modern, Aliens, Traditional Roguelike, Top-Down, 2D, Minimalist, Building, Conspiracy, Horror, Illuminati, Investigation, Lovecraftian, Sci-fi"
375580,Three Days,"Lewis Bergin, GorePixelGames",Lewis Bergin,47,21,0,"50,000 .. 100,000",111,0,111,0,38,299,87,2,English,"Action, Adventure, Indie, RPG, Simulation, Strategy","Indie, Pixel Graphics, Crafting, Puzzle, Arcade, Survival, Strategy, Procedural Generation, Action, RPG, Exploration, Strategy RPG, Tactical RPG, Adventure, Open World, Simulation, Grand Strategy, Action RPG, Action-Adventure, Casual"
1436240,Krakatoa,Splint Games,Splint Games,17,17,0,"50,000 .. 100,000",0,0,0,0,49,99,51,2,English,"Action, Adventure, Indie, RPG","Survival Horror, Action-Adventure, Cinematic, Multiple Endings, First-Person, Atmospheric, Driving, Realistic, Thriller, Runner, Mystery, Crafting, Psychological Horror, FPS, CRPG, Action RPG, Post-apocalyptic, Survival, Adventure, Horror"
487580,Ludo Supremo,EnsenaSoft,EnsenaSoft,74,55,0,"50,000 .. 100,000",381,0,381,0,99,199,50,2,English,Casual,"Casual, Board Game"
873960,Panic Room 2: Hide and Seek,GameXP.com,GameXP.com,31,37,0,"50,000 .. 100,000",0,0,0,0,0,0,0,2,"English, Russian, French, German, Spanish - Spain","Adventure, Casual, Free to Play","Free to Play, Casual, Adventure, Hidden Object, Horror, Puzzle, CRPG, Choose Your Own Adventure, 2D, Cute, First-Person, Hand-drawn, Detective, Psychological Horror, Thriller, Mystery, Emotional, Conversation, Story Rich, Narration"
326990,Deep Eclipse: New Space Odyssey,Ultravision Interactive,Trinity Project,69,43,0,"50,000 .. 100,000",279,0,279,0,49,99,51,2,"English, Russian","Action, Indie","Action, Indie, Space, Shoot 'Em Up, Top-Down Shooter, Arcade, Shooter, Space Sim, Third-Person Shooter, 2D, Top-Down, Third Person, Futuristic, Thriller, Atmospheric, Survival, Combat, 6DOF, Physics, Singleplayer"
385900,Arevan,Overcloud9,Aldorlea Games,22,22,0,"20,000 .. 50,000",0,0,0,0,49,499,90,2,English,"Adventure, Casual, Indie, RPG","RPG, Indie, Adventure, Casual, RPGMaker, Exploration"
2179790,Carpe Diem Project,Papagaye,Papagaye,4,0,0,"50,000 .. 100,000",0,0,0,0,999,999,0,2,English,"Action, Adventure, Indie","Post-apocalyptic, Military, Third-Person Shooter, Action, Survival Horror, Atmospheric, Open World, Singleplayer, Score Attack, Modern, Adventure, PvE, Action-Adventure, Shooter, Exploration, Realistic, Third Person, Horror, Tactical, Combat"
1998040,Psycho Reign,D4,D4,27,8,0,"50,000 .. 100,000",0,0,0,0,479,799,40,2,English,"Action, Casual, Indie, Early Access","Early Access, Atmospheric, Dark, Horror, Online Co-Op, Survival Horror, Multiplayer, Co-op, First-Person, FPS, Stealth, Psychological Horror, Hidden Object, Puzzle, Singleplayer, Action, PvE, Realistic, Adventure, Exploration"
