appid,name,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,languages,genres,tags
8190,Just Cause 2,Avalanche Studios,Square Enix,42873,4312,"10,000,000 - 20,000,000",744,188,200,188,9.99,199,"English, French, German, Italian, Spanish - Spain, Polish, Russian","Action, Adventure","Open World, Action, Sandbox, Multiplayer, Third Person, Adventure, Third-Person Shooter, Shooter, Singleplayer, Destruction, Exploration, Funny, Moddable, Co-op, Beautiful, Physics, Atmospheric, 3D Vision, Comedy, Massively Multiplayer"
8230,Sam & Max 104: Abe Lincoln Must Die!,Telltale Games,Telltale Games,375,68,"10,000,000 - 20,000,000",96,0,59,0,9.99,0,"English, French, German, Italian","Action, Adventure","Adventure, Point & Click, Cult Classic, Singleplayer, 1990's, Great Soundtrack, Retro, Action, Comedy, 2D, Story Rich, America"
8500,EVE Online,CCP,CCP,19261,6232,"10,000,000 - 20,000,000",3037,1910,143,1910,9.99,4367,"English, German, Russian, French, Korean, Japanese","Action, Free to Play, Massively Multiplayer, RPG, Strategy","Space, Massively Multiplayer, Sci-fi, Free to Play, RPG, Sandbox, MMORPG, Open World, Strategy, Action, Multiplayer, PvP, Economy, Space Sim, Spaceships, Simulation, Difficult, PvE, Capitalism, Tactical"
8600,RACE 07,SimBin,SimBin,2030,371,"10,000,000 - 20,000,000",361,0,98,0,9.99,21,"English, French, German, Italian, Spanish - Spain",Racing,"Racing, Automobile Sim, Simulation, Driving, Multiplayer, Sports, Singleplayer, Realistic, Physics"
8800,Civilization IV: Beyond the Sword,Firaxis Games,2K,2995,112,"10,000,000 - 20,000,000",2241,0,3115,0,9.99,1489,"English, French, German, Italian, Spanish - Spain",Strategy,"Strategy, Turn-Based Strategy, 4X, Turn-Based, Historical, Singleplayer, Multiplayer, Moddable, Grand Strategy, Classic, Replay Value, Education, Simulation, Local Multiplayer, Management"
8850,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,10921,1251,"10,000,000 - 20,000,000",387,0,230,0,9.99,34,"English, French, German, Italian, Spanish - Spain",Action,"FPS, Action, Singleplayer, Atmospheric, Story Rich, Horror, Shooter, First-Person, Steampunk, Sci-fi, Multiplayer, Dystopian , Underwater, Adventure, RPG, Immersive, Dark, Great Soundtrack, Philosophical, Action RPG"
8870,BioShock Infinite,"Irrational Games, Virtual Programming (Linux)",2K,114407,5772,"10,000,000 - 20,000,000",835,131,591,131,9.99,478,"English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Japanese, Korean, Traditional Chinese",Action,"FPS, Story Rich, Action, Singleplayer, Steampunk, Atmospheric, Shooter, First-Person, Beautiful, Alternate History, Adventure, Great Soundtrack, Dystopian , Sci-fi, Time Travel, Fantasy, Gore, Linear, RPG, Immersive"
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",173735,6924,"10,000,000 - 20,000,000",7313,499,2561,695,9.99,18071,"English, French, German, Italian, Spanish - Spain, Polish, Japanese, Korean, Russian, Traditional Chinese",Strategy,"Turn-Based Strategy, Strategy, Turn-Based, Multiplayer, Historical, 4X, Addictive, Singleplayer, Hex Grid, Grand Strategy, Replay Value, Co-op, Tactical, Economy, Diplomacy, Moddable, Simulation, Classic, Great Soundtrack, Touch-Friendly"
8980,Borderlands Game of the Year,Gearbox Software,2K,26986,2859,"10,000,000 - 20,000,000",1333,0,591,0,9.99,162,"English, French, Spanish - Spain, German, Italian","Action, RPG","Looter Shooter, FPS, Co-op, RPG, Action, Loot, Shooter, Online Co-Op, First-Person, Open World, Comedy, Multiplayer, Sci-fi, Post-apocalyptic, Singleplayer, Action RPG, Funny, Dark Humor, Adventure, Gore"
9010,Return to Castle Wolfenstein,Gray Matter Studios,Bethesda-Softworks,5571,428,"10,000,000 - 20,000,000",89,0,85,0,9.99,87,English,Action,"FPS, Action, Classic, World War II, Supernatural, Alternate History, Shooter, Singleplayer, First-Person, Horror, Atmospheric, Multiplayer, Gore, Zombies, Sci-fi, Stealth, Adventure, Great Soundtrack, Retro, Old School"
9050,DOOM 3,id Software,id Software,5170,649,"10,000,000 - 20,000,000",277,0,163,0,9.99,38,"English, German, Italian, Spanish - Spain, French",Action,"Action, Horror, FPS, Sci-fi, Dark, First-Person, Singleplayer, Classic, Shooter, Demons, Gore, Atmospheric, Survival Horror, Zombies, Mars, Futuristic, Multiplayer, Moddable, Co-op, Adventure"
9160,Master Levels for Doom II,id Software,id Software,500,150,"10,000,000 - 20,000,000",10,2,15,2,9.99,3,English,Action,"Action, FPS, Classic, Shooter, First-Person, 1990's, Singleplayer, Retro, Sci-fi, Gore, Demons, Zombies, Moddable, Horror, Great Soundtrack, Difficult, Old School, 2.5D"
9200,RAGE,id Software,Bethesda Softworks,11956,3598,"10,000,000 - 20,000,000",429,0,289,0,9.99,77,"English, Czech, French, German, Italian, Japanese, Polish, Russian, Spanish - Spain",Action,"FPS, Post-apocalyptic, Action, Open World, Shooter, Singleplayer, First-Person, Racing, Co-op, Multiplayer, Sci-fi, Atmospheric, Gore, Adventure, RPG, Horror, Survival, Crafting, Online Co-Op, Linear"
9310,"Warhammer 40,000: Dawn of War – Winter Assault",Relic Entertainment,SEGA,1251,135,"10,000,000 - 20,000,000",242,0,145,0,9.99,41,"English, French, German, Italian, Spanish - Spain",Strategy,"Strategy, Warhammer 40K, RTS, Games Workshop, Sci-fi, Base-Building, Singleplayer, Multiplayer, Real-Time, Tactical, Futuristic, War, Action, Classic"
9340,Company of Heroes: Opposing Fronts,Relic Entertainment,SEGA,825,69,"10,000,000 - 20,000,000",385,0,32,0,9.99,51,English,"Action, Strategy","Strategy, RTS, Action, World War II, Singleplayer, Multiplayer, Military, Tactical, War, Tanks, Base-Building, Historical, Co-op, Online Co-Op"
9350,Supreme Commander,Gas Powered Games,Square Enix,1896,236,"10,000,000 - 20,000,000",773,0,395,0,9.99,80,"English, Czech, French, German, Italian, Polish, Russian, Spanish - Spain, Traditional Chinese",Strategy,"Strategy, RTS, Sci-fi, Multiplayer, Real-Time, Co-op, Real-Time with Pause, Base-Building, Singleplayer, Robots, Action, Classic, Space, Great Soundtrack"
9420,Supreme Commander: Forged Alliance,Gas Powered Games,Square Enix,9676,299,"10,000,000 - 20,000,000",1111,287,477,287,9.99,529,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian, Traditional Chinese",Strategy,"Strategy, RTS, Sci-fi, Multiplayer, Singleplayer, Grand Strategy, Base-Building, Co-op, Moddable, Real-Time with Pause, Robots, Competitive, Real-Time, Action, Online Co-Op, Classic, Space, Great Soundtrack, Adventure, War"
9450,"Warhammer 40,000: Dawn of War - Soulstorm",Relic Entertainment,SEGA,11314,520,"10,000,000 - 20,000,000",2653,163,758,212,9.99,1025,"English, French, German",Strategy,"Warhammer 40K, Strategy, RTS, Base-Building, Sci-fi, Multiplayer, Real-Time, Games Workshop, Singleplayer, Classic, Futuristic, Action, Atmospheric, Great Soundtrack, Gore, Moddable, Adventure, Fantasy, Memes, Co-op"
9480,Saints Row 2,Volition,Deep Silver,12651,3641,"10,000,000 - 20,000,000",582,0,134,0,9.99,114,"English, French, German, Italian, Spanish - Spain, Dutch, Danish, Swedish, Russian",Action,"Open World, Action, Character Customization, Sandbox, Third-Person Shooter, Comedy, Co-op, Third Person, Crime, Singleplayer, Online Co-Op, Multiplayer, Funny, Shooter, Co-op Campaign, Replay Value, Female Protagonist, Great Soundtrack, Moddable, Adventure"
